      schema      |           object_name            | object_type 
 anaplan_dev | create_dynamic_list          | function
 anaplan_dev | pro_anaplan_01               | procedure
 anaplan_dev | pro_write_clob_to_file       | procedure
 anaplan_dev | proc_refresh_avg_price_until | procedure
 anaplan_dev | proc_sales_daily_summarize   | procedure
 anaplan_dev | proc_sales_summarize         | procedure
 anaplan_dev | rectify_non_ascii            | function
 anaplan_dev | reencode                     | function
 anaplan_dev | refresh_ad_last_purch_price  | procedure
 anaplan_dev | split_clob                   | function
 anaplan_dev | to_number_spec               | function
(11 rows)

 dependent_schema | dependent_object | depends_on_schema | depends_on_object 
------------------+------------------+-------------------+-------------------
(0 rows)

      schema      |            table_name            | approx_row_count 
------------------+----------------------------------+------------------
 ref_dev          | l2_saleschannel_codes            |               90
 ref_dev          | workcenter_group                 |               82
 ref_dev          | tst_l2_saleschannel_codes        |               55
 anaplan_dev      | ad_chargemodel                   |               28
 ref_dev          | pricelist_customer_ref           |               21
 ref_dev          | naturebased_cogs_is_line         |               20
 ref_dev          | excise_groups                    |               16
 ref_dev          | md_product_packagegroup          |               13
 ref_dev          | excluded_internal_supplier_codes |               12
 ref_dev          | charge_model_excise_ids          |               11
 ref_dev          | l1_region_codes                  |               11
 ref_dev          | charge_model_depofee_ids         |               10
 ref_dev          | md_product_hie2_remap            |                8
 ref_dev          | md_product_hie1_remap            |                5
 ref_dev          | capex_investment_code_rules      |                4
 ref_dev          | md_product_mmgrp5_remap          |                4
 ref_dev          | pricelist_region_map             |                4
 ref_dev          | division_filter                  |                2
 ref_dev          | md_product_hie3_remap            |                1
 anaplan_dev      | ad_customer_conversion           |                0
 anaplan_dev      | ad_last_purch_price              |                0
 anaplan_dev      | ad_market_data                   |                0
 anaplan_dev      | anap_currencyrates               |                0
 anaplan_dev      | avg_price_until                  |                0
 anaplan_dev      | f116000000000                    |                0
 anaplan_dev      | f116000000004                    |                0
 anaplan_dev      | f116000000005                    |                0
 anaplan_dev      | f116000000009                    |                0
